model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,fold
wst_original_seed0,0.70625,0.7412037037037038,0.6954478301324695,0.7156385784540336,0.7412037037037038,0.8583485958485958,0.6444444444444445,0.8785714285714286,0.8721804511278195,0.7412140575079872,180,0.8166666666666667,0.7923076923076923,0.47572815533980584,0.6012269938650308,60,0.7625,0.9041666666666667,0.7261904761904762,0.7439024390243903,80,"116,47,17;5,49,6;12,7,61",0.9375,0.9629629629629629,0.9327731092436974,0.9629629629629629,0.9743589743589745,"8,1,0;0,3,0;0,0,4",320,1
wst_original_seed0,0.64375,0.6972222222222223,0.6259450488659414,0.6570183324113344,0.6972222222222223,0.8314102564102565,0.575,0.875,0.8846153846153846,0.696969696969697,200,0.7,0.8692307692307693,0.5526315789473685,0.6176470588235295,60,0.8166666666666667,0.75,0.4298245614035088,0.5632183908045977,60,"115,28,57;10,42,8;5,6,49",0.75,0.7888888888888889,0.7481481481481481,0.7888888888888889,0.8675213675213675,"7,0,3;1,2,0;0,0,3",320,2
wst_original_seed0,0.5375,0.49444444444444446,0.4795651473166549,0.53838115714731,0.49444444444444446,0.7473443223443224,0.5833333333333334,0.6285714285714286,0.6687898089171974,0.6231454005934719,180,0.25,0.8384615384615385,0.2631578947368421,0.25641025641025644,60,0.65,0.775,0.49056603773584906,0.5591397849462365,80,"105,35,40;31,15,14;21,7,52",0.6875,0.6666666666666666,0.6352941176470589,0.6666666666666666,0.8235653235653236,"6,1,2;2,1,0;0,0,4",320,3
wst_original_seed0,0.646875,0.7066666666666667,0.6312208141018639,0.655513515161214,0.7066666666666667,0.8282051282051283,0.57,0.85,0.8636363636363636,0.6867469879518072,200,0.6833333333333333,0.8,0.44086021505376344,0.5359477124183006,60,0.8666666666666667,0.8346153846153846,0.5473684210526316,0.6709677419354839,60,"114,47,39;15,41,4;3,5,52",0.8125,0.9,0.8102240896358542,0.9,0.923076923076923,"7,2,1;0,3,0;0,0,3",320,4
wst_new_seed0,0.6529411764705882,0.635,0.608067237312961,0.6602588403250211,0.635,0.817857142857143,0.655,0.7714285714285715,0.803680981595092,0.7217630853994491,200,0.45,0.8321428571428572,0.36486486486486486,0.4029850746268656,60,0.8,0.85,0.6213592233009708,0.6994535519125683,80,"131,38,31;25,27,8;7,9,64",0.6875,0.6666666666666666,0.6388888888888888,0.6666666666666666,0.8412698412698413,"6,0,3;1,1,1;0,0,4",340,0
wst_new_seed0,0.721875,0.7462962962962963,0.7111656144696763,0.7292030053330125,0.7462962962962963,0.858592796092796,0.6722222222222223,0.8357142857142857,0.8402777777777778,0.7469135802469136,180,0.7666666666666667,0.8192307692307692,0.4946236559139785,0.6013071895424837,60,0.8,0.9208333333333333,0.7710843373493976,0.7852760736196319,80,"121,43,16;11,46,3;12,4,64",0.875,0.9259259259259259,0.8736772486772487,0.9259259259259259,0.9465811965811967,"7,1,1;0,3,0;0,0,4",320,1
wst_new_seed0,0.65625,0.6805555555555555,0.6330515812499722,0.666815946271291,0.6805555555555555,0.8185897435897437,0.625,0.775,0.8223684210526315,0.7102272727272727,200,0.6666666666666666,0.8961538461538462,0.5970149253731343,0.6299212598425197,60,0.75,0.7846153846153846,0.44554455445544555,0.5590062111801243,60,"125,25,50;14,40,6;13,2,45",0.75,0.7111111111111111,0.7238095238095239,0.7111111111111111,0.8376068376068376,"8,0,2;1,2,0;1,0,2",320,2
wst_new_seed0,0.503125,0.4902777777777778,0.45659224145392513,0.5016739834482802,0.4902777777777778,0.7414529914529914,0.48333333333333334,0.7,0.6744186046511628,0.5631067961165049,180,0.25,0.8576923076923076,0.28846153846153844,0.26785714285714285,60,0.7375,0.6666666666666666,0.4244604316546763,0.5388127853881278,80,"87,33,60;25,15,20;17,4,59",0.625,0.6296296296296297,0.5777777777777778,0.6296296296296297,0.8156288156288155,"5,1,3;1,1,1;0,0,4",320,3
wst_new_seed0,0.703125,0.7055555555555554,0.6718333312466352,0.7080949280715153,0.7055555555555554,0.8318376068376069,0.7,0.7416666666666667,0.8187134502923976,0.7547169811320755,200,0.6,0.8615384615384616,0.5,0.5454545454545454,60,0.8166666666666667,0.8923076923076924,0.6363636363636364,0.7153284671532846,60,"140,35,25;21,36,3;10,1,49",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;1,2,0;0,0,3",320,4
wst_original_seed1,0.6911764705882353,0.6491666666666667,0.639656906667216,0.6900803259808717,0.6491666666666667,0.8224358974358975,0.735,0.7071428571428572,0.7819148936170213,0.7577319587628866,200,0.45,0.9178571428571428,0.54,0.49090909090909096,60,0.7625,0.8423076923076923,0.5980392156862745,0.6703296703296703,80,"147,21,32;24,27,9;17,2,61",0.6875,0.6203703703703703,0.6259259259259259,0.6203703703703703,0.8214285714285715,"7,0,2;1,1,1;1,0,3",340,0
